placement,seed,radical_fraction,bridge_radical,dangerous_radical_bridge
bridge_biased,1,0.20931666666666665,0.25657142857142856,0.25657142857142856
bridge_biased,2,0.19644999999999999,0.314,0.314
bridge_biased,3,0.19318333333333335,0.2834285714285714,0.2834285714285714
bridge_biased,4,0.1885,0.247,0.247
bridge_biased,5,0.23526666666666665,0.37785714285714284,0.37785714285714284
bridge_biased,6,0.2081666666666667,0.2534285714285714,0.2534285714285714
bridge_biased,7,0.1976,0.26,0.26
bridge_biased,8,0.21196666666666666,0.26157142857142857,0.26157142857142857
bridge_biased,9,0.23325,0.29,0.29
bridge_biased,10,0.18706666666666666,0.18285714285714283,0.18285714285714283
bridge_biased,11,0.21705000000000002,0.27142857142857146,0.27142857142857146
bridge_biased,12,0.25305,0.28628571428571425,0.28628571428571425
bridge_biased,13,0.19225,0.26685714285714285,0.26685714285714285
bridge_biased,14,0.20586666666666667,0.24228571428571427,0.24228571428571427
bridge_biased,15,0.23403333333333334,0.25885714285714284,0.25885714285714284
bridge_biased,16,0.2515833333333334,0.3087142857142857,0.3087142857142857
bridge_biased,17,0.21478333333333333,0.3151428571428571,0.3151428571428571
bridge_biased,18,0.2142833333333333,0.2581428571428571,0.2581428571428571
bridge_biased,19,0.1933,0.2755714285714286,0.2755714285714286
bridge_biased,20,0.22279999999999997,0.24528571428571427,0.24528571428571427
bridge_biased,21,0.2212333333333333,0.23042857142857143,0.23042857142857143
bridge_biased,22,0.20355,0.2602857142857143,0.2602857142857143
bridge_biased,23,0.20223333333333335,0.28285714285714286,0.28285714285714286
bridge_biased,24,0.1953,0.23314285714285715,0.23314285714285715
bridge_biased,25,0.2356,0.21342857142857144,0.21342857142857144
bridge_biased,26,0.21615,0.32771428571428574,0.32771428571428574
bridge_biased,27,0.22543333333333335,0.2587142857142857,0.2587142857142857
bridge_biased,28,0.19090000000000004,0.28871428571428565,0.28871428571428565
bridge_biased,29,0.23893333333333333,0.31042857142857144,0.31042857142857144
bridge_biased,30,0.23845000000000002,0.2837142857142857,0.2837142857142857
bridge_biased,31,0.20765,0.3,0.3
bridge_biased,32,0.19821666666666665,0.2725714285714286,0.2725714285714286
bridge_biased,33,0.23373333333333335,0.3148571428571429,0.3148571428571429
bridge_biased,34,0.23175,0.33585714285714285,0.33585714285714285
bridge_biased,35,0.21246666666666666,0.3288571428571429,0.3288571428571429
bridge_biased,36,0.20435000000000003,0.2831428571428571,0.2831428571428571
bridge_biased,37,0.19973333333333335,0.3101428571428571,0.3101428571428571
bridge_biased,38,0.1985833333333333,0.26457142857142857,0.26457142857142857
bridge_biased,39,0.23333333333333336,0.2582857142857143,0.2582857142857143
bridge_biased,40,0.23073333333333335,0.19042857142857142,0.19042857142857142
bridge_biased,41,0.24215,0.27242857142857146,0.27242857142857146
bridge_biased,42,0.22763333333333333,0.38728571428571434,0.38728571428571434
bridge_biased,43,0.24589999999999998,0.28128571428571425,0.28128571428571425
bridge_biased,44,0.2561333333333333,0.28071428571428575,0.28071428571428575
bridge_biased,45,0.21430000000000002,0.24157142857142855,0.24157142857142855
bridge_biased,46,0.21425,0.3018571428571429,0.3018571428571429
bridge_biased,47,0.24541666666666667,0.31042857142857144,0.31042857142857144
bridge_biased,48,0.21116666666666667,0.23214285714285712,0.23214285714285712
bridge_biased,49,0.23928333333333332,0.2531428571428571,0.2531428571428571
bridge_biased,50,0.22814999999999996,0.29542857142857143,0.29542857142857143
nonbridge_biased,1,0.20955000000000001,0.2374285714285714,0.0
nonbridge_biased,2,0.18831666666666666,0.30271428571428566,0.0
nonbridge_biased,3,0.21233333333333335,0.31542857142857145,0.0
